Runs,GA,DBSCAN1,DBSCAN2,KMEANS1,KMEANS2,AP1,AP2,FCA1,FCA2,MS1,MS2
run_1,148079,148075,146273,147814,147033,147840,148013,147776,146773,148115,147227
run_2,147797,148049,146923,147917,147395,147710,147795,147738,146854,147996,147161
run_3,148002,148114,146411,147775,147279,147653,147895,147903,146906,148042,147104
run_4,148068,148065,146338,147918,147328,147822,147914,147426,146753,148066,146967
run_5,148015,147977,146907,147682,147667,147657,147579,147509,146508,148075,147352
