Runs,GA,DBSCAN1,DBSCAN2,KMEANS1,KMEANS2,AP1,AP2,FCA1,FCA2,MS1,MS2
run_1,375078,374342,338946,372948,340552,366210,359304,373176,338307,374937,350059
run_2,374767,374613,338493,372515,339896,364354,357064,373253,340565,374554,345751
run_3,375143,374014,339926,373243,339499,365382,357820,373452,338957,374767,352535
run_4,374772,374924,338518,372958,340507,362240,355444,373226,340747,375279,351807
run_5,374716,374900,338001,373623,338623,364648,351134,374030,338487,374748,350873
